time,volume,complete,mid_open,mid_high,mid_low,mid_close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,local_time,session_date,clock,atr,body,range,body_fraction,median_body,opening_range_high,opening_range_low,opening_range_candles
2026-06-21 21:00:00+00:00,1,True,1.14638,1.14638,1.14638,1.14638,1.14618,1.14618,1.14618,1.14618,1.14659,1.14659,1.14659,1.14659,2026-06-21 17:00:00-04:00,2026-06-21,17:00:00,,0.0,,,,,,
2026-06-21 21:05:00+00:00,91,True,1.14638,1.14641,1.14581,1.146,1.14617,1.14622,1.14538,1.14571,1.14659,1.14661,1.14621,1.14628,2026-06-21 17:05:00-04:00,2026-06-21,17:05:00,,0.00038000000000004697,0.0005999999999999339,0.6333333333334814,,,,
2026-06-21 21:10:00+00:00,76,True,1.14596,1.14606,1.1459,1.14606,1.14571,1.14577,1.14548,1.14569,1.14622,1.14643,1.14618,1.14643,2026-06-21 17:10:00-04:00,2026-06-21,17:10:00,,9.999999999998899e-05,0.00016000000000016001,0.6249999999993061,,,,
2026-06-21 21:15:00+00:00,27,True,1.1461,1.14614,1.14604,1.14605,1.14576,1.14585,1.14565,1.14566,1.14644,1.14645,1.14644,1.14644,2026-06-21 17:15:00-04:00,2026-06-21,17:15:00,,4.999999999988347e-05,9.999999999998899e-05,0.4999999999988898,,,,
2026-06-21 21:20:00+00:00,82,True,1.14608,1.1461,1.146,1.14601,1.14572,1.14577,1.14557,1.14562,1.14644,1.14646,1.14637,1.1464,2026-06-21 17:20:00-04:00,2026-06-21,17:20:00,,7.00000000000145e-05,9.999999999998899e-05,0.700000000000222,,,,
2026-06-21 21:25:00+00:00,91,True,1.14606,1.14608,1.14598,1.14608,1.14569,1.14571,1.14559,1.14571,1.14644,1.14645,1.14635,1.14644,2026-06-21 17:25:00-04:00,2026-06-21,17:25:00,,1.999999999990898e-05,9.999999999998899e-05,0.19999999999911183,,,,
2026-06-21 21:30:00+00:00,167,True,1.14608,1.14618,1.14603,1.14607,1.14572,1.14587,1.14557,1.14572,1.14644,1.14651,1.14638,1.14642,2026-06-21 17:30:00-04:00,2026-06-21,17:30:00,,1.0000000000065512e-05,0.00014999999999987246,0.0666666666671601,,,,
2026-06-21 21:35:00+00:00,112,True,1.14606,1.14687,1.14605,1.14676,1.1457,1.14642,1.1457,1.1463,1.14641,1.14734,1.14636,1.14722,2026-06-21 17:35:00-04:00,2026-06-21,17:35:00,,0.0006999999999999229,0.0008200000000000429,0.8536585365852272,,,,
2026-06-21 21:40:00+00:00,119,True,1.14676,1.14697,1.14654,1.14674,1.1463,1.14659,1.14608,1.1464,1.14723,1.14741,1.14697,1.14709,2026-06-21 17:40:00-04:00,2026-06-21,17:40:00,,1.999999999990898e-05,0.0004300000000001525,0.04651162790674857,,,,
2026-06-21 21:45:00+00:00,108,True,1.14676,1.14686,1.14674,1.1468,1.14642,1.14663,1.14642,1.14659,1.14709,1.14709,1.147,1.147,2026-06-21 17:45:00-04:00,2026-06-21,17:45:00,,4.0000000000040004e-05,0.00011999999999989797,0.3333333333339501,,,,
2026-06-21 21:50:00+00:00,44,True,1.1468,1.1468,1.14668,1.1467,1.1466,1.1466,1.14643,1.14646,1.147,1.147,1.1469,1.14694,2026-06-21 17:50:00-04:00,2026-06-21,17:50:00,,9.999999999998899e-05,0.00012000000000012001,0.8333333333324081,,,,
2026-06-21 21:55:00+00:00,162,True,1.14671,1.14675,1.14614,1.14622,1.14648,1.14653,1.14575,1.14581,1.14694,1.14697,1.14646,1.14662,2026-06-21 17:55:00-04:00,2026-06-21,17:55:00,,0.0004899999999998794,0.0006099999999999994,0.8032786885243932,,,,
2026-06-21 22:00:00+00:00,306,True,1.1462,1.1466,1.14574,1.14651,1.14581,1.14646,1.14543,1.14636,1.14659,1.14676,1.14597,1.14666,2026-06-21 18:00:00-04:00,2026-06-21,18:00:00,,0.00030999999999981043,0.0008600000000000829,0.36046511627881456,,,,
2026-06-21 22:05:00+00:00,252,True,1.14652,1.14678,1.14624,1.14635,1.14639,1.14661,1.14607,1.14622,1.14666,1.14694,1.1464,1.14648,2026-06-21 18:05:00-04:00,2026-06-21,18:05:00,0.00033642857142858674,0.00017000000000000348,0.0005399999999999849,0.31481481481483004,,,,
2026-06-21 22:10:00+00:00,193,True,1.14634,1.1464,1.1462,1.14638,1.1462,1.14626,1.14604,1.14623,1.14648,1.14664,1.14634,1.14653,2026-06-21 18:10:00-04:00,2026-06-21,18:10:00,0.0003507142857142994,4.0000000000040004e-05,0.00019999999999997797,0.20000000000022206,,,,
2026-06-21 22:15:00+00:00,181,True,1.1464,1.14666,1.14634,1.14656,1.14626,1.14646,1.14619,1.14644,1.14653,1.14686,1.14648,1.14667,2026-06-21 18:15:00-04:00,2026-06-21,18:15:00,0.00033071428571431117,0.00015999999999993797,0.000320000000000098,0.49999999999965306,,,,
2026-06-21 22:20:00+00:00,113,True,1.14658,1.14675,1.14656,1.14661,1.14644,1.14662,1.14641,1.1465,1.14671,1.14688,1.14667,1.14672,2026-06-21 18:20:00-04:00,2026-06-21,18:20:00,0.00033285714285715063,2.999999999997449e-05,0.00018999999999991246,0.15789473684204375,,,,
2026-06-21 22:25:00+00:00,161,True,1.1466,1.14666,1.14637,1.14638,1.14648,1.14652,1.14625,1.14626,1.14672,1.14683,1.14647,1.14649,2026-06-21 18:25:00-04:00,2026-06-21,18:25:00,0.00034642857142858877,0.000220000000000109,0.0002900000000001235,0.7586206896552252,,,,
2026-06-21 22:30:00+00:00,305,True,1.14639,1.14644,1.14616,1.14616,1.14627,1.14635,1.14605,1.14606,1.14651,1.14656,1.14627,1.14627,2026-06-21 18:30:00-04:00,2026-06-21,18:30:00,0.0003592857142857207,0.00022999999999995246,0.00027999999999983594,0.8214285714288829,,,,
